Column4,common_name,scientific_name,Column1,category,Column2,Column3
13,Shikra,Accipiter badius,Accipiter badius,f,Accipiter badius,Accipiter badius
17,Great Sparrowhawk,Accipiter melanoleucus,Accipiter melanoleucus,F,Accipiter melanoleucus,#N/A
15,Little Sparrowhawk,A. m. minullus/A. m. tropicalis,Accipiter minullus,f,Accipiter minullus,Accipiter minullus
16,Rufous-breasted Sparrowhawk,Accipiter rufiventris,Accipiter rufiventris,F,Accipiter rufiventris,Accipiter rufiventris
11,African Goshawk,Accipiter tachiro,Accipiter tachiro,F,Accipiter tachiro,Accipiter tachiro
52,Red-headed  Lovebird,Agapomis pullarius,Agapornis pullarius,f,Agapornis pullarius,#N/A
99,Shining-blue Kingfisher,Alcedo quadribrachys,Alcedo quadribrachys,FF,Alcedo quadribrachys,Alcedo quadribrachys
98,Half-collared Kingfisher,Alcedo semitorquata,Alcedo semitorquata,F,Alcedo semitorquata,#N/A
431,Grosbeak Weaver,Amblyospiza albifrons,Amblyospiza albifrons,f,Amblyospiza albifrons,Amblyospiza albifrons
329,African Penduline Tit,Anthoscopus caroli,Anthoscopus caroli,f,Anthoscopus caroli,#N/A
402,Western Violet-backed Sunbird,Anthreptes longuemarei,Anthreptes longuemarei,f,Anthreptes longuemarei,Anthreptes longuemarei
403,Uluguru  Violet-backed Sunbird,Anthreptes neglectus,Anthreptes neglectus,FF,Anthreptes neglectus,#N/A
405,Green Sunbird,Anthreptes rectirostris,Anthreptes rectirostris,FF,Anthreptes rectirostris,#N/A
401,Plain-backed Sunbird,Anthreptes reichenowi,Anthreptes reichenowi,FF,Anthreptes reichenowi,Anthreptes reichenowi
180,Sokoke Pipit,Anthus sokokensis,Anthus sokokensis,FF,Anthus sokokensis,Anthus sokokensis
93,Narina Trogon,Apaloderma narina,Apaloderma narina,F,Apaloderma narina,Apaloderma narina
94,Bar-tailed Trogon,Apaloderma vittatum,Apaloderma vittatum,FF,Apaloderma vittatum,Apaloderma vittatum
44,Lemon Dove,Aplopelia larvata,Aplopelia larvata,FF,Aplopelia larvata,Aplopelia larvata
23,Cassin's Hawk Eagle,Spizaetus africanus,Aquila africana,FF,Aquila africana,Aquila africana
84,African Long-eared  Owl,Asio abyssinicus,Asio abyssinicus,FF,Asio abyssinicus,#N/A
4,African Cuckoo-Hawk ,Aviceda cuculoides,Aviceda cuculoides,F,Aviceda cuculoides,#N/A
344,Forest Batis,Batis mixta,Batis mixta,FF,Batis mixta,Batis mixta
343,Black-and-white Flycatcher,Bias musicus,Bias musicus,f,Bias musicus,#N/A
211,Red-tailed Bristlebill,Bleda syndactyla,Bleda syndactyla,FF,Bleda syndactyla,Bleda syndactyla
1,African Green Ibis,Bostrychia olivacea,Bostrychia olivacea,FF,Bostrychia olivacea,#N/A
282,Cinnamon Bracken Warbler,Bradypterus cinnamomeus,Bradypterus cinnamomeus,F,Bradypterus cinnamomeus,Bradypterus cinnamomeus
281,Evergreen Forest Warbler,Bradypterus lopezi,Bradypterus lopezi,FF,Bradypterus lopezi,Bradypterus lopezi
133,Yellow-spotted Barbet,Buccanodon duchaillui,Buccanodon duchaillui,FF,Buccanodon duchaillui,Buccanodon duchaillui
20,Mountain Buzzard,Buteo oreophilus,Buteo oreophilus,FF,Buteo oreophilus,Buteo oreophilus
119,Silvery-cheeked Hombill,Bycanistes brevis,Bycanistes brevis,F,Bycanistes brevis,#N/A
120,Black-and-white-casqued Hombill,Bycanistes subcylindricus,Bycanistes subcylindricus,F,Bycanistes subcylindricus,#N/A
291,Grey-backed Camaroptera,Camaroptera brachyura,Camaroptera brachyura,f,Camaroptera brachyura,Camaroptera brachyura
374,Red-shouldered Cuckoo-shrike,Campephaga phoenicea,Campephaga phoenicea,f,Campephaga phoenicea,#N/A
376,Purple-throated Cuckoo-shrike,Campephaga quiscalina,Campephaga quiscalina,FF,Campephaga quiscalina,#N/A
156,Golden-tailed  Woodpecker,Campethera abingoni,Campethera abingoni,F,Campethera abingoni,#N/A
158,Green-backed  Woodpecker,Campethera cailliautii,Campethera cailliautii,f,Campethera cailliautii,#N/A
157,Mombasa Woodpecker,Campethera mombassica,Campethera mombassica,F,Campethera mombassica,Campethera mombassica
85,Fiery-necked  Nightjar,Caprimulgus  pectoralis,Caprimulgus pectoralis,F,Caprimulgus pectoralis,#N/A
86,Montane Nightjar,Caprimulgus  poliocephalus,Caprimulgus poliocephalus,F,Caprimulgus poliocephalus,Caprimulgus poliocephalus
76,Senegal Coucal,Centropus senegalensis,Centropus senegalensis,f,Centropus senegalensis,Centropus senegalensis
71,Barred Long-tailed Cuckoo,Cercococcyx montanus,Cercococcyx montanus,FF,Cercococcyx montanus,Cercococcyx montanus
245,Brown-backed  Scrub Robin,Cercotrichas hartlaubi,Cercotrichas hartlaubi,f,Cercotrichas hartlaubi,#N/A
246,Eastern Bearded Scrub Robin,Cercotrichas quadrivirgata,Cercotrichas quadrivirgata,f,Cercotrichas quadrivirgata,#N/A
75,Yellowbill,Ceuthmochares aereus,Ceuthmochares aereus,F,Ceuthmochares aereus,#N/A
207,Yellow-bellied Greenbul,Chlorocichla flaviventris,Chlorocichla flaviventris,F,Chlorocichla flaviventris,Chlorocichla flaviventris
206,Joyful Greenbul,Chlorocichla laetissima,Chlorocichla laetissima,F,Chlorocichla laetissima,Chlorocichla laetissima
72,African Emerald Cuckoo,Chrysococcyx cupreus,Chrysococcyx cupreus,F,Chrysococcyx cupreus,Chrysococcyx cupreus
74,Klaas's Cuckoo,Chrysococcyx klaas,Chrysococcyx klaas,f,Chrysococcyx klaas,Chrysococcyx klaas
397,Violet-backed Starling,Cinnyricinclus leucogaster,Cinnyricinclus leucogaster,f,Cinnyricinclus leucogaster,Cinnyricinclus leucogaster
9,Banded Snake Eagle,Circaetus cinerascens,Circaetus cinerascens,F,Circaetus cinerascens,#N/A
8,Southern Banded Snake Eagle,Circaetus fasciolatus,Circaetus fasciolatus,F,Circaetus fasciolatus,Circaetus fasciolatus
286,Chubb's Cisticola,Cisticola chubbi,Cisticola chubbi,F,Cisticola chubbi,Cisticola chubbi
287,Hunter's Cisticola,Cisticola hunteri,Cisticola hunteri,F,Cisticola hunteri,Cisticola hunteri
62,Levaillant's Cuckoo,Oxylophus levaillantii,Clamator levaillantii,f,Clamator levaillantii,#N/A
468,Brown Twinspot,Clytospiza monteiri,Clytospiza monteiri,f,Clytospiza monteiri,Clytospiza monteiri
42,Olive Pigeon,Columba arquatrix,Columba arquatrix,FF,Columba arquatrix,#N/A
41,Eastern Bronze-naped Pigeon,Columba delegorguei,Columba delegorguei,FF,Columba delegorguei,Columba delegorguei
54,Great Blue Turaco                      ,Corythaeola  cristata,Corythaeola cristata,F         ,Corythaeola cristata,#N/A
237,Blue-shouldered Robin Chat,Cossypha cyanocampter,Cossypha cyanocampter,F,Cossypha cyanocampter,Cossypha cyanocampter
236,White-browed  Robin Chat,Cossypha heuglini,Cossypha heuglini,f,Cossypha heuglini,#N/A
234,Red-capped Robin Chat,Cossypha natalensis,Cossypha natalensis,F,Cossypha natalensis,Cossypha natalensis
238,Snowy-headed  Robin Chat,Cossypha niveicapilla,Cossypha niveicapilla,F,Cossypha niveicapilla,#N/A
235,Rüppell' s Robin Chat,Cossypha semirufa,Cossypha semirufa,F,Cossypha semirufa,#N/A
64,Black Cuckoo (i),Cuculus clamosus gabonensis,Cuculus clamosus,f,Cuculus clamosus,#N/A
67,Asian Lesser Cuckoo,Cuculus poliocephalus,Cuculus poliocephalus,f,Cuculus poliocephalus,#N/A
68,Madagascar Lesser Cuckoo,Cuculus rochii,Cuculus rochii,f,Cuculus rochii,#N/A
66,Red-chested  Cuckoo,Cuculus solitarius,Cuculus solitarius,F,Cuculus solitarius,#N/A
