"","V1","V3","popid","popname","from","upto","add","se_add","mul","se_mul","p","meaning"
"1","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1992,2017,-0.0254398337496479,0.00786369410065364,0.974881032137496,0.00766616622125875,"0.00352737453771272","Moderate decrease (p<0.05)"
"2","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2002,2017,0.0398309401832295,0.014201288154219,1.04063482978659,0.014778355081116,"0.0140485936223387","Moderate increase (p<0.05)"
"3","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",1999,2013,-0.174485316487478,0.111049760661214,0.839889186662058,0.0932694931607635,"0.1401402426833","Uncertain"
"4","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1992,2017,-0.0063023544632351,0.00866683646390582,0.993717463717066,0.00861238674936308,"0.474149670697469","Stable"
"5","KE","LIMLI",481,"Limosa limosa (Black-tailed Godwit), limosa, West-central Asia/SW Asia & Eastern Africa",1992,2017,-0.0529384809246622,0.0271998573489659,0.94843835773839,0.0257973880347717,"0.0634201680701435","Uncertain"
"6","KE","LIMLA",490,"Limosa lapponica (Bar-tailed Godwit), taymyrensis, Central Siberia/South & SW Asia & Eastern Africa",1992,2017,0.0498841955631771,0.0817440498958113,1.05114936156761,0.085925205859933,"0.547432683016863","Uncertain"
"7","KE","NUMPH",508,"Numenius phaeopus (Whimbrel), phaeopus, West Siberia/Southern & Eastern Africa",1992,2017,0.0734285715800934,0.0305466206575193,1.07619166325643,0.0328740184922788,"0.0243057094484938","Moderate increase (p<0.05)"
"8","KE","TRIER",548,"Tringa erythropus (Spotted Redshank), Western Siberia/SW Asia, NE & Eastern Africa",1992,2017,0.0373570266354594,0.0244494772814552,1.03806357103023,0.02538011169661,"0.13960394605545","Uncertain"
"9","KE","TRITO",553,"Tringa totanus (Common Redshank), ussuriensis, Western Asia/SW Asia, NE & Eastern Africa",1992,2013,-0.0879053304093829,0.0617544552068121,0.915847575534434,0.0565576680796087,"0.170015099484599","Uncertain"
"10","KE","TRIST",561,"Tringa stagnatilis (Marsh Sandpiper), Western Asia/SW Asia, Eastern & Southern Africa",1992,2017,-0.0518796691655253,0.00763140407396691,0.949443107250812,0.00724558399667365,"4.95658620234304e-07","Moderate decrease (p<0.01)"
"11","KE","TRINE",565,"Tringa nebularia (Common Greenshank), Western Siberia/SW Asia, E & S Africa",1992,2017,0.0230875858873244,0.00579321589460548,1.02335616718005,0.00592852321355003,"0.000546871610194773","Moderate increase (p<0.01)"
"12","KE","TRIOC",574,"Tringa ochropus (Green Sandpiper), Western Siberia/SW Asia, NE & Eastern Africa",1992,2017,0.0106425314450456,0.00903980313547828,1.01069936462017,0.00913652328531935,"0.250620850734293","Stable"
