"","V1","V3","popid","popname","time","imputed","se_imp","observed"
"1","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1992,428,54,0
"2","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1993,428,54,0
"3","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1994,428,54,0
"4","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1995,428,54,0
"5","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1996,428,54,0
"6","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1997,428,54,0
"7","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1998,428,54,428
"8","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",1999,273,43,273
"9","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2000,235,35,0
"10","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2001,202,30,0
"11","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2002,174,27,0
"12","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2003,150,25,0
"13","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2004,129,24,0
"14","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2005,111,23,0
"15","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2006,95,23,0
"16","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2007,82,22,0
"17","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2008,71,21,0
"18","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2009,61,20,0
"19","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2010,52,19,0
"20","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2011,45,18,45
"21","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2012,523,60,523
"22","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2013,407,53,407
"23","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2014,701,70,701
"24","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2015,425,54,425
"25","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2016,355,36,0
"26","KE","BALRE",7,"Balearica regulorum (Grey Crowned Crane), gibbericeps, Eastern Africa (Kenya to Mozambique)",2017,296,45,296
"27","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2002,50,11,33
"28","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2003,64,12,46
"29","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2004,61,10,7
"30","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2005,58,9,16
"31","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2006,55,8,10
"32","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2007,53,8,0
"33","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2008,50,9,19
"34","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2009,48,11,34
"35","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2010,2,2,2
"36","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2011,75,13,42
"37","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2012,60,12,50
"38","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2013,87,14,75
"39","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2014,74,13,50
"40","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2015,87,11,32
"41","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2016,102,11,0
"42","KE","PORFL",286,"Zapornia flavirostra (Black Crake), Sub-Saharan Africa",2017,120,17,102
"43","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",1999,81,48,74
"44","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2000,70,39,0
"45","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2001,61,33,0
"46","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2002,53,30,0
"47","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2003,46,28,0
"48","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2004,40,27,0
"49","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2005,35,26,0
"50","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2006,30,25,0
"51","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2007,26,25,0
"52","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2008,23,24,0
"53","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2009,20,23,0
"54","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2010,17,22,0
"55","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2011,15,21,15
"56","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2012,9,16,9
"57","KE","GALAN",392,"Paragallinula angulata (Lesser Moorhen), Sub-Saharan Africa",2013,4,11,4
"58","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1992,9394,1224,0
"59","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1993,9394,1224,0
"60","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1994,9394,1224,0
"61","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1995,9394,1224,0
"62","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1996,9394,1224,9394
"63","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1997,4927,887,4927
"64","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1998,248,199,248
"65","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",1999,12187,1394,12187
"66","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",2000,40892,2554,40892
"67","KE","FULCR",399,"Fulica cristata (Red-knobbed Coot), Sub-Saharan Africa",2001,23087,1508,0
