Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
1016,,Mallard Duck,Anas platyrhynchos,1.7,3.9,7.3,25.7,30.2,31.3,179,,,,,
940,323,Rock Dove,Columba livia,10.8,14.2,21.1,21.4,16.5,16,1062,,,,,
874,1050,Golden-breasted Bunting,Emberiza flaviventris,15.3,12.5,21.3,19.5,15.6,15.8,799,,,,,
873,,Cape Bunting,Emberiza capensis,14.1,15,23.2,20.9,15.8,11,935,,,,,
872,1047,Cinnamon-breasted Bunting,Emberiza tahapisi,10.2,13.8,21.5,22.4,18.9,13.2,918,,,,,
871,,Lark-like Bunting,Emberiza impetuani,5.6,14.7,23.9,24.5,18.8,12.5,702,,,,,
869,,Protea Seedeater,Crithagra leucopterus,16.7,24,31.3,16.7,8.3,3.1,96,,,,,
867,1061,Streaky-headed Seedeater,Crithagra gularis,9.8,11.1,16.8,20.2,15.5,26.5,885,,,,,
866,,Yellow Canary,Crithagra flaviventris,8.5,11.4,19.9,20.1,18.3,21.8,1015,,,,,
865,,White-throated Canary,Crithagra albogularis,9.9,14.3,28.8,19.3,15.5,12.3,659,,,,,
863,1059,Brimstone Canary,Crithagra sulphuratus,11.7,10.7,20.2,19.6,17.2,20.6,495,,,,,
861,,Black-headed Canary,Serinus alario,12.8,20.5,30.2,20.3,10.8,5.4,444,,,,,
860,,Black-throated Canary,Crithagra atrogularis,8.4,10,15.5,19.6,22,24.5,892,,,,,
859,1056,Yellow-fronted Canary,Crithagra mozambicus,11.4,10.6,15.1,20.4,17.5,25,716,,,,,
858,,Forest Canary,Crithagra scotops,15.7,14.1,25.6,20.7,10.3,13.6,242,,,,,
857,,Cape Canary,Serinus canicollis,17.9,15.1,19.5,18.9,13.6,14.9,825,,,,,
855,,Cape Siskin,Crithagra totta,16.1,20.1,24.8,18.1,10.7,10.1,149,,,,,
854,989,Cuckoo Finch,Anomalospiza imberbis,1.3,12.5,33.1,26.3,20.6,6.3,160,,,,,
852,1010,Long-tailed Paradise-Whydah,Vidua paradisaea,22.8,17.2,25,18.5,9.8,6.7,448,,,,,
851,1019,Village Indigobird,Vidua chalybeata,6.3,15.5,21.5,21,22.6,13.1,381,,,,,
850,1020,Purple Indigobird,Vidua purpurascens,1.5,10.1,11.6,24.8,34.9,17,129,,,,,
849,,Dusky Indigobird,Vidua funerea,13.2,19.8,29.8,19.1,11.9,6.2,439,,,,,
847,,Shaft-tailed Whydah,Vidua regia,12.1,15.2,27.3,22,15.8,7.6,381,,,,,
846,1032,Pin-tailed Whydah,Vidua macroura,13.7,14.1,21.9,23.4,14.5,12.3,1226,,,,,
844,1040,African Quailfinch,Ortygospiza atricollis,13,13.4,21.7,18.7,17,16.2,934,,,,,
843,1029,Common Waxbill,Estrilda astrild,12.4,11.7,18.8,17.8,16.3,23.1,1285,,,,,
841,1035,Black-faced Waxbill,Estrilda erythronotos,10.4,12.3,23,19.5,19.8,15,374,,,,,
840,,Violet-eared Waxbill,Granatina granatina,11.4,19,22.8,19.4,14.4,13,422,,,,,
839,,Blue Waxbill,Uraeginthus angolensis,15.4,16.4,19.3,20.1,13,15.9,592,,,,,
838,1039,Orange-breasted Waxbill,Amandava subflava,21.1,23.8,29,15.1,6.7,4.3,445,,,,,
837,1018,Red-billed Firefinch,Lagonosticta senegala,11.1,14.1,20.5,21.7,17.7,14.9,623,,,,,
835,1021,Jameson's Firefinch,Lagonosticta rhodopareia,9.5,12.4,17.1,25.4,20.6,14.9,315,,,,,
833,1022,African Firefinch,Lagonosticta rubricata,13.7,11.3,23.2,20.4,14.6,16.8,548,,,,,
830,1008,Green-winged Pytilia,Pytilia melba,14.2,16,19.6,20.6,17.6,12.2,501,,,,,
827,1014,Green Twinspot,Mandingoa nitidula,7.3,16.4,22.7,19.1,19.1,15.4,110,,,,,
825,,Swee Waxbill,Coccopygia melanotis,13.3,22.2,26.8,16.7,11,10.1,437,,,,,
824,1042,Red-backed Mannikin,Spermestes bicolor,14.1,20.3,23.4,14.1,10.9,17.2,128,,,,,
823,1041,Bronze Mannikin,Spermestes cucullatus,24.6,16.4,20.5,14.4,11.2,12.9,464,,,,,
821,1046,Cut-throat Finch,Amadina fasciata,19.6,18.7,19.1,18.2,15.3,9.1,209,,,,,
820,,Red-headed Finch,Amadina erythrocephala,24.3,17.1,25.1,18,9.3,6.3,778,,,,,
818,982,Long-tailed Widowbird,Euplectes progne,13.1,14.3,21.4,18.6,17,15.6,700,,,,,
816,984,Fan-tailed Widowbird,Euplectes axillaris,6,6.9,21.3,17.9,14.1,33.8,403,,,,,
814,979,White-winged Widowbird,Euplectes albonotatus,11,10.3,20.4,17.5,18.8,22.1,565,,,,,
813,981,Red-collared Widowbird,Euplectes ardens,10.2,11.8,21.8,24.9,12.8,18.6,570,,,,,
812,976,Yellow-crowned Bishop,Euplectes afer,8,15.9,27.9,21.7,14.6,11.8,659,,,,,
810,978,Yellow Bishop,Euplectes capensis,16.9,17.3,23.3,17.9,14,10.6,463,,,,,
808,971,Southern Red Bishop,Euplectes orix,8.9,11.1,16.5,19.8,16.7,26.9,1296,,,,,
806,987,Red-headed Quelea,Quelea erythrops,1.9,11.1,7.4,29.6,22.2,27.8,54,,,,,
805,986,Red-billed Quelea,Quelea quelea,2.6,3.7,12.3,18.7,23.4,39.3,1135,,,,,
804,970,Thick-billed Weaver,Amblyospiza albifrons,5.3,4.8,15.9,19.6,18.8,35.7,378,,,,,
803,,Southern Masked-Weaver,Ploceus velatus,5.2,6.5,13.5,19.8,22.5,32.5,1381,,,,,
801,947,Golden Weaver,Ploceus xanthops,5.2,14.8,23.5,18.3,15.6,22.6,115,,,,,
800,946,Yellow Weaver,Ploceus subaureus,12.1,6.4,15.3,21,11.3,33.9,124,,,,,
799,,Cape Weaver,Ploceus capensis,14.1,12.1,23.2,19.9,14.7,16.1,932,,,,,
797,940,Village Weaver,Ploceus cucullatus,9.4,7.2,14.4,18.5,16.8,33.8,542,,,,,
793,969,Red-headed Weaver,Anaplectes rubriceps,13.2,13.7,22,23.6,13.7,13.7,182,,,,,
792,953,Lesser Masked-Weaver,Ploceus intermedius,5.4,14.9,12.6,26.4,21.8,18.8,261,,,,,
791,962,Spectacled Weaver,Ploceus ocularis,7,9.1,14.7,18,17.1,34.1,416,,,,,
790,967,Dark-backed Weaver,Ploceus bicolor,17.9,11.3,20.2,15.5,13.7,21.4,168,,,,,
789,,Scaly-feathered Finch,Sporopipes squamifrons,11.8,9.3,19.8,19.6,15.1,24.5,551,,,,,
788,0,Yellow-throated Petronia,Petronia superciliaris,11.9,15.1,22.3,18.4,17.9,14.4,564,,,,,
786,,Cape Sparrow,Passer melanurus,15.4,13.4,18.2,21.9,16.1,15,1349,,,,,
785,,Great Sparrow,Passer motitensis,12.5,19.4,27.8,20.8,12.5,6.9,216,,,,,
784,992,House Sparrow,Passer domesticus,27.1,14.6,19.1,16.9,9.9,12.3,1420,,,,,
783,,Sociable Weaver,Philetairus socius,7.3,14.1,22,24.9,19.8,11.9,177,,,,,
780,997,White-browed Sparrow-Weaver,Plocepasser mahali,10.7,10.5,15.7,18.8,17,27.3,675,,,,,
779,1003,Red-billed Buffalo-Weaver,Bubalornis niger,19,17.9,20,14.7,19,9.5,190,,,,,
774,930,Scarlet-chested Sunbird,Chalcomitra senegalensis,18.5,14,25,16,10.5,16,200,,,,,
772,932,Amethyst Sunbird,Chalcomitra amethystina,13.6,8.7,18.8,20.9,15.9,22.1,750,,,,,
771,902,Collared Sunbird,Hedydipna collaris,12.1,11.4,20,14.1,17.2,25.2,290,,,,,
766,929,Olive Sunbird,Cyanomitra olivacea,7.1,7.9,18.1,17.3,16.5,33.1,127,,,,,
765,936,Grey Sunbird,Cyanomitra veroxii,8,8.6,16.7,16,16,34.6,162,,,,,
764,,Dusky Sunbird,Cinnyris fuscus,6.3,16,21.4,24.4,18.1,13.9,426,,,,,
763,,White-bellied Sunbird,Cinnyris talatala,11.6,9.6,17.9,18.7,17.4,24.7,603,,,,,
760,,Southern Double-collared Sunbir,Cinnyris chalybeus,13.8,15.4,21.2,19,17.4,13.1,631,,,,,
758,,Greater Double-collared Sunbird,Cinnyris afer,14.5,12.8,19.4,19,15.8,18.5,525,,,,,
756,913,Purple-banded Sunbird,Cinnyris bifasciatus,0,2.7,8.1,21.6,24.3,43.2,74,,,,,
755,916,Marico Sunbird,Cinnyris mariquensis,12.9,16.9,19.5,18.9,17.8,14,349,,,,,
753,,Orange-breasted Sunbird,Anthobaphes violacea,26.3,15,21.3,13.8,15.6,8.1,160,,,,,
751,927,Malachite Sunbird,Nectarinia famosa,19.4,15.4,23.9,19.6,13.7,8.1,878,,,,,
750,,Gurney's Sugarbird,Promerops gurneyi,17,22,34,13,7,7,100,,,,,
749,,Cape Sugarbird,Promerops cafer,19.1,18.5,24.2,15.2,9,14,178,,,,,
748,901,Red-billed Oxpecker,Buphagus erythrorhynchus,4.8,4.1,7.9,18.4,25.6,39.2,316,,,,,
746,,Pied Starling,Spreo bicolor,27,20.2,22.3,13.3,10.1,7,995,,,,,
745,885,Red-winged Starling,Onychognathus morio,23.8,13.9,20.8,17.9,11,12.6,1036,,,,,
744,,Pale-winged Starling,Onychognathus nabouroup,18.6,22.6,29.1,17.1,9.7,2.9,381,,,,,
743,,Burchell's Starling,Lamprotornis australis,21.9,15,23.8,16.9,11.9,10.6,160,,,,,
740,877,Black-bellied Starling,Lamprotornis corruscus,4.9,8.6,16.2,20,16.8,33.5,185,,,,,
738,879,Greater Blue-eared Starling,Lamprotornis chalybaeus,26.4,15.1,24.5,16,8.5,9.4,106,,,,,
