Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last,Column1
1,Ostrich,Common,Struthio,camelus,6.3593,658,9/26/22,1.9553,440,9/28/22,1
4,Grebe,Great Crested,Podiceps,cristatus,0.0773,8,7/30/22,0.0089,2,12/7/21,4
5,Grebe,Black-necked,Podiceps,nigricollis,0.1256,13,2/1/21,0.0311,7,1/9/21,5
6,Grebe,Little,Tachybaptus,ruficollis,11.5589,1196,9/25/22,2.3908,538,9/28/22,6
28,Shearwater,Tropical,Puffinus,bailloni,0.0097,1,2/23/19,0.0044,1,12/22/21,28
41,Pelican,Pink-backed,Pelecanus,rufescens,4.1461,429,9/21/22,1.0043,226,9/17/22,41
42,Pelican,Great White,Pelecanus,onocrotalus,5.0063,518,9/13/22,1.5376,346,9/5/22,42
47,Cormorant,White-breasted ,Phalacrocorax,lucidus,3.1893,330,8/28/22,0.4933,111,4/4/22,47
50,Cormorant,Reed,Microcarbo,africanus,19.2326,1990,9/26/22,3.4618,779,9/28/22,50
52,Darter,African,Anhinga,rufa,5.4509,564,9/26/22,0.7688,173,7/30/22,52
54,Heron,Grey,Ardea,cinerea,22.2383,2301,9/26/22,6.328,1424,9/24/22,54
55,Heron,Black-headed,Ardea,melanocephala,26.2492,2716,9/26/22,6.728,1514,9/28/22,55
56,Heron,Goliath,Ardea,goliath,2.7448,284,9/13/22,0.6977,157,9/17/22,56
57,Heron,Purple,Ardea,purpurea,4.2234,437,9/25/22,0.7688,173,9/8/22,57
58,Egret,Great,Ardea,alba,14.5356,1504,9/26/22,3.204,721,9/19/22,58
59,Egret,Little,Egretta,garzetta,8.7852,909,9/13/22,2.3241,523,9/17/22,59
60,Egret,Intermediate,Ardea,intermedia,8.2149,850,9/26/22,1.9464,438,9/28/22,60
61,Egret,Western Cattle,Bubulcus,ibis,22.0547,2282,9/26/22,8.2833,1864,9/25/22,61
62,Heron,Squacco,Ardeola,ralloides,5.3059,549,9/12/22,1.1376,256,9/26/22,62
63,Heron,Striated,Butorides,striata,6.485,671,9/13/22,1.0265,231,9/6/22,63
64,Heron,Black,Egretta,ardesiaca,1.5463,160,9/18/22,0.3555,80,6/15/22,64
65,Heron,Rufous-bellied,Ardeola,rufiventris,0.1353,14,6/13/22,0.1111,25,2/13/22,65
66,Bittern,Dwarf,Ixobrychus,sturmii,0.3383,35,9/21/22,0.0311,7,5/14/22,66
67,Bittern,Little,Ixobrychus,minutus,0.7152,74,8/27/22,0.0889,20,9/26/22,67
69,Heron,Black-crowned Night,Nycticorax,nycticorax,3.1797,329,8/27/22,0.6444,145,8/27/22,69
70,Heron,White-backed Night,Gorsachius,leuconotus,0.0966,10,6/13/21,0.0356,8,11/26/21,70
72,,Hamerkop,Scopus,umbretta,20.576,2129,9/26/22,5.2437,1180,9/16/22,72
73,Stork,Marabou,Leptoptilos,crumenifer,14.0331,1452,9/26/22,5.1104,1150,9/28/22,73
74,Openbill,African,Anastomus,lamelligerus,6.8232,706,9/21/22,1.5465,348,9/13/22,74
75,Stork,Saddle-billed,Ephippiorhynchus,senegalensis,1.7686,183,7/30/22,0.4266,96,9/18/22,75
76,Stork,Yellow-billed,Mycteria,ibis,14.8642,1538,9/26/22,3.9195,882,9/17/22,76
77,Stork,Woolly-necked,Ciconia,episcopus,7.7124,798,9/26/22,1.3865,312,9/1/22,77
78,Stork,Abdim's,Ciconia,abdimii,1.0728,111,6/30/22,0.4222,95,5/14/22,78
79,Stork,Black,Ciconia,nigra,1.3627,141,5/14/22,0.2266,51,2/27/22,79
80,Stork,White,Ciconia,ciconia,2.4548,254,6/23/22,0.8977,202,9/14/22,80
81,Ibis,African Sacred,Threskiornis,aethiopicus,28.53,2952,9/26/22,9.4165,2119,9/24/22,81
83,Ibis,Glossy,Plegadis,falcinellus,4.6487,481,9/13/22,1.302,293,9/17/22,83
84,Ibis,Hadada ,Bostrychia,hagedash,47.7046,4936,9/26/22,15.3091,3445,9/28/22,84
85,Spoonbill,African,Platalea,alba,11.4913,1189,9/26/22,2.8707,646,9/26/22,85
86,Flamingo,Greater ,Phoenicopterus,roseus,3.199,331,9/13/22,0.871,196,9/17/22,86
87,Flamingo,Lesser,Phoeniconaias,minor,2.9864,309,9/13/22,1.0799,243,9/17/22,87
88,Goose,Spur-winged,Plectropterus,gambensis,2.1359,221,9/4/22,0.5688,128,9/26/22,88
89,Goose,Egyptian,Alopochen,aegyptiaca,30.26,3131,9/26/22,8.1411,1832,9/28/22,89
91,Duck,Knob-billed,Sarkidiornis,melanotos,2.3775,246,9/4/22,0.5777,130,9/17/22,91
92,Goose,African Pygmy,Nettapus,auritus,1.0245,106,9/21/22,0.1378,31,5/14/22,92
93,Shoveler,Northern,Spatula,clypeata,0.3866,40,2/9/22,0.1111,25,12/7/21,93
95,Duck,African Black,Anas,sparsa,2.4065,249,9/24/22,0.7155,161,9/7/22,95
96,Duck,Yellow-billed,Anas,undulata,8.5822,888,9/25/22,2.3908,538,9/28/22,96
97,Teal,Red-billed,Anas,erythrorhyncha,4.6584,482,9/26/22,1.3554,305,9/17/22,97
98,Teal,Cape,Anas,capensis,1.498,155,7/31/22,0.4755,107,7/16/22,98
99,Teal,Blue-billed,Spatula,hottentota,2.4065,249,8/28/22,0.671,151,9/17/22,99
100,Duck,White-faced Whistling,Dendrocygna,viduata,8.2343,852,9/21/22,1.7242,388,9/17/22,100
101,Duck,Fulvous Whistling,Dendrocygna,bicolor,0.9858,102,5/14/22,0.1778,40,2/6/22,101
102,Pochard,Southern,Netta,erythrophthalma,0.3963,41,5/7/22,0.0667,15,12/20/21,102
103,Duck,Maccoa,Oxyura,maccoa,0.1256,13,2/23/22,0.0222,5,7/4/21,103
104,Duck,White-backed,Thalassornis,leuconotus,1.1598,120,9/19/22,0.2933,66,8/21/22,104
