Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
0,,,,,5.3847,569,2020-05-05,1.5168,349,2020-05-01
151,,Bateleur,Terathopius,ecaudatus,7.6938,813,2022-11-03,2.6164,602,2022-10-20
731,,Brubru,Nilaus,afer,10.4760,1107,2022-11-03,1.3473,310,2022-10-21
273,,Crab-plover,Dromas,ardeola,2.8863,305,2022-10-21,0.5911,136,2022-10-08
885,,Garganey,Spatula,querquedula,0.4259,45,2022-03-08,0.1130,26,2022-02-20
72,,Hamerkop,Scopus,umbretta,20.5451,2171,2022-11-05,5.2371,1205,2022-11-08
2484,,Piapiac,Ptilostomus,afer,0.0189,2,2021-07-03,0.0087,2,2019-07-31
1344,,Quail-plover,Ortyxelos,meiffrenii,0.0095,1,2016-11-23,0.0087,2,2021-05-20
844,,Quailfinch,Ortygospiza,atricollis,0.6151,65,2022-10-28,0.1434,33,2022-10-29
3828,,"Quailfinch (ssp gabonensis)",Ortygospiza,"atricollis gabonensis",0.0095,1,2022-02-05,0.0000,0,-
256,,Ruff,Calidris,pugnax,4.1639,440,2022-11-03,1.1126,256,2022-11-08
255,,Sanderling,Calidris,alba,2.1955,232,2022-10-28,0.4259,98,2022-10-08
105,,Secretarybird,Sagittarius,serpentarius,5.5077,582,2022-11-03,2.0209,465,2022-10-27
161,,Shikra,Accipiter,badius,1.6750,177,2022-10-08,0.3390,78,2022-10-08
2578,,Silverbird,Empidornis,semipartitus,1.8927,200,2022-10-03,0.4650,107,2022-10-12
577,,Whinchat,Saxicola,rubetra,1.8359,194,2022-10-25,0.2825,65,2022-03-27
591,Akalat,"East Coast",Sheppardia,gunningi,0.5300,56,2022-10-15,0.1087,25,2022-10-06
2710,Akalat,Equatorial,Sheppardia,aequatorialis,0.6151,65,2022-10-22,0.1173,27,2021-08-13
1109,Alethe,Brown-chested,Chamaetylas,poliocephala,1.2302,130,2022-11-08,0.1999,46,2022-10-14
622,Apalis,Bar-throated,Apalis,thoracica,0.0095,1,2018-10-18,0.0000,0,-
3084,Apalis,Black-collared,Oreolais,pulcher,3.0094,318,2022-10-22,0.4477,103,2022-11-02
623,Apalis,Black-headed,Apalis,melanocephala,3.2838,347,2022-10-15,0.8084,186,2022-10-16
3074,Apalis,Black-throated,Apalis,jacksoni,0.8990,95,2022-11-05,0.1478,34,2022-06-27
1099,Apalis,Buff-throated,Apalis,rufogularis,0.4448,47,2022-10-22,0.0782,18,2021-11-30
3082,Apalis,Chestnut-throated,Apalis,porphyrolaema,2.4605,260,2022-10-18,0.6563,151,2022-09-20
3070,Apalis,Grey,Apalis,cinerea,3.1986,338,2022-11-05,0.5215,120,2022-11-05
3076,Apalis,Karamoja,Apalis,karamojae,0.0284,3,2021-05-09,0.0217,5,2022-02-11
3056,Apalis,Taita,Apalis,fuscigularis,0.0757,8,2022-07-02,0.0652,15,2022-03-30
625,Apalis,Yellow-breasted,Apalis,flavida,21.5198,2274,2022-11-05,2.8033,645,2022-11-11
1103,Apalis,Yellow-throated,Apalis,flavigularis,0.1703,18,2021-10-16,0.0174,4,2022-11-01
269,Avocet,Pied,Recurvirostra,avosetta,1.6372,173,2022-10-23,0.5520,127,2022-11-07
467,Babbler,"African Hill",Sylvia,abyssinica,1.5047,159,2022-11-05,0.2521,58,2022-05-14
533,Babbler,Arrow-marked,Turdoides,jardineii,5.0535,534,2022-11-04,0.8996,207,2022-11-07
3458,Babbler,Black-lored,Turdoides,sharpei,4.6655,493,2022-10-15,0.9692,223,2022-10-29
3452,Babbler,Brown,Turdoides,plebejus,1.2776,135,2022-09-30,0.1782,41,2022-10-09
1133,Babbler,"Grey-chested ",Kakamega,poliothorax,0.0284,3,2018-08-24,0.0130,3,2020-11-19
3444,Babbler,Hinde's,Turdoides,hindei,1.7602,186,2022-10-30,0.3260,75,2022-10-03
3446,Babbler,"Northern Pied",Turdoides,hypoleuca,5.3468,565,2022-10-15,0.9605,221,2022-10-25
3384,Babbler,"Rwenzori Hill",Sylvia,atriceps,0.1136,12,2015-02-24,0.0000,0,-
3462,Babbler,Scaly,Turdoides,squamulata,5.2901,559,2022-10-29,0.8736,201,2022-10-16
1428,Barbet,Black-billed,Lybius,guifsobalito,0.2366,25,2022-09-02,0.0348,8,2022-04-22
431,Barbet,Black-collared,Lybius,torquatus,0.6624,70,2022-10-28,0.1478,34,2022-10-20
1472,Barbet,Black-throated,Tricholaema,melanocephala,4.3532,460,2022-10-30,0.6432,148,2022-11-01
1050,Barbet,Brown-breasted,Lybius,melanopterus,2.4226,256,2022-10-22,0.4477,103,2022-09-13
1452,Barbet,"D'Arnaud's ",Trachyphonus,darnaudii,11.3372,1198,2022-11-05,2.2817,525,2022-10-21
1422,Barbet,Double-toothed,Lybius,bidentatus,1.4101,149,2022-11-04,0.2043,47,2022-08-11
435,Barbet,Green,Stactolaema,olivacea,2.5741,272,2022-10-28,0.6085,140,2022-10-20
1416,Barbet,Grey-throated,Gymnobucco,bonapartei,1.0126,107,2022-11-08,0.1260,29,2022-05-24
1468,Barbet,Hairy-breasted,Tricholaema,hirsuta,0.2555,27,2022-10-22,0.0348,8,2022-05-24
1454,Barbet,Red-and-yellow,Trachyphonus,erythrocephalus,6.2932,665,2022-11-03,1.3473,310,2022-10-20
1462,Barbet,Red-fronted,Tricholaema,diademata,9.1038,962,2022-11-09,1.0387,239,2022-10-08
1470,Barbet,Spot-flanked,Tricholaema,lacrymosa,11.1006,1173,2022-11-09,1.2473,287,2022-11-09
433,Barbet,White-eared,Stactolaema,leucotis,0.5394,57,2022-10-28,0.1304,30,2022-10-16
960,Barbet,White-headed,Lybius,leucocephalus,7.7979,824,2022-11-09,0.8345,192,2022-11-09
1458,Barbet,Yellow-billed,Trachyphonus,purpuratus,0.8801,93,2022-11-08,0.0869,20,2022-10-14
1414,Barbet,Yellow-spotted,Buccanodon,duchaillui,0.5773,61,2022-11-08,0.0565,13,2021-11-30
673,Batis,Chinspot,Batis,molitor,23.2706,2459,2022-11-09,3.2900,757,2022-11-09
2320,Batis,"Eastern Black-headed",Batis,minor,3.6340,384,2022-10-30,0.2955,68,2022-07-02
683,Batis,"Forest ",Batis,mixta,0.9747,103,2022-10-03,0.1434,33,2022-07-02
675,Batis,Pale,Batis,soror,2.1009,222,2022-10-08,0.4955,114,2022-10-08
2326,Batis,Pygmy,Batis,perkeo,2.4700,261,2022-11-03,0.3260,75,2022-10-09
2310,Batis,"West African",Batis,occulta,0.0189,2,2022-09-02,0.0130,3,2021-04-09
1584,Bee-eater,Blue-breasted,Merops,variegatus,0.0379,4,2022-06-18,0.0000,0,-
405,Bee-eater,Blue-cheeked,Merops,persicus,2.4510,259,2022-10-30,0.4955,114,2022-05-31
1574,Bee-eater,Blue-headed,Merops,muelleri,0.3975,42,2022-11-08,0.0391,9,2021-08-11
1578,Bee-eater,Cinnamon-chested,Merops,oreobates,16.8354,1779,2022-11-09,3.9202,902,2022-11-09
404,Bee-eater,European,Merops,apiaster,11.8387,1251,2022-11-09,2.2339,514,2022-10-28
410,Bee-eater,Little,Merops,pusillus,15.6052,1649,2022-11-05,3.0901,711,2022-11-05
1576,Bee-eater,"Northern Carmine",Merops,nubicus,6.3405,670,2022-10-28,1.7471,402,2022-10-08
406,Bee-eater,Olive,Merops,superciliosus,2.9904,316,2022-09-20,0.5998,138,2022-10-16
1582,Bee-eater,Somali,Merops,revoilii,1.0220,108,2022-10-08,0.3781,87,2022-10-09
407,Bee-eater,"Southern Carmine",Merops,nubicoides,0.0095,1,2016-09-10,0.0000,0,-
409,Bee-eater,White-fronted,Merops,bullockoides,5.2711,557,2022-11-04,1.6428,378,2022-10-18
1034,Bee-eater,White-throated,Merops,albicollis,10.0975,1067,2022-11-08,2.2861,526,2022-10-09
3750,Bishop,Black,Euplectes,gierowii,0.4353,46,2022-07-16,0.0261,6,2022-04-22
809,Bishop,"Black-winged Red ",Euplectes,hordeaceus,1.0978,116,2022-09-02,0.1173,27,2022-07-28
3746,Bishop,Fire-fronted,Euplectes,diadematus,0.2934,31,2022-06-22,0.0565,13,2020-05-09
3748,Bishop,"Northern Red ",Euplectes,franciscanus,0.1893,20,2022-10-01,0.0391,9,2022-10-08
808,Bishop,"Southern Red",Euplectes,orix,1.3722,145,2022-06-21,0.1173,27,2022-07-20
810,Bishop,Yellow,Euplectes,capensis,9.1606,968,2022-11-05,1.7732,408,2022-11-05
812,Bishop,Yellow-crowned,Euplectes,afer,0.8233,87,2022-10-01,0.2173,50,2022-10-08
3754,Bishop,"Zanzibar Red ",Euplectes,nigroventris,5.0819,537,2022-10-27,0.4650,107,2022-10-08
