SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
1,Ostrich,Struthio camelus,,0,avibase-5D14080C,ebird_group_exact,Common/Somali Ostrich,Struthio sp.,4,Struthio camelus|Struthio molybdophanes,ostric2|ostric3,Ostriches,Struthioniformes,VU,,2,false,false,false,false,111000,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,8595319.06,This species was re-introduced in Kisumu (60b),
2,Little Grebe,Tachybaptus ruficollis,,6,avibase-215FEA89,ebird_single,Little Grebe,Tachybaptus ruficollis,1636,Tachybaptus ruficollis,litgre1,Grebes,Podicipediformes,LC,https://datazone.birdlife.org/species/factsheet/22696545,1,false,false,false,true,169.4,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,36639881.74,,
3,Black-necked Grebe,Podiceps nigricollis,,5,avibase-32DCEC14,ebird_single,Black-necked Grebe,Podiceps nigricollis,1684,Podiceps nigricollis,eargre,Grebes,Podicipediformes,LC,https://datazone.birdlife.org/species/factsheet/22696610,1,false,false,false,true,412.4,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,16435591.3,,
4,Great Crested Grebe,Podiceps cristatus,,4,avibase-8F269702,ebird_single,Great Crested Grebe,Podiceps cristatus,1680,Podiceps cristatus,grcgre1,Grebes,Podicipediformes,LC,https://datazone.birdlife.org/species/factsheet/22696602,1,false,false,false,true,731,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,19812770.45,,
5,Black-browed Albatross,Diomedea melanophris,,8,avibase-F9FCB9FF,ebird_single,Black-browed Albatross,Thalassarche melanophris,4738,Thalassarche melanophris,bkbalb,Albatrosses,Procellariiformes,NE,,1,false,false,false,false,3202.9,Marine,3,2,Carnivore,Aquatic predator,Aquatic,109981594.81,Seabird species maps are unreliable because they are strongly depend on effort,
6,Pintado Petrel,Daption capense,,14,avibase-AAC2D613,ebird_single,Pintado Petrel,Daption capense,4818,Daption capense,cappet,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,LC,https://datazone.birdlife.org/species/factsheet/22697879,1,false,false,false,false,429.6,Marine,3,2,Carnivore,Aquatic predator,Generalist,136304432.2,Seabird species maps are unreliable because they are strongly depend on effort,
7,Broad-billed Prion,Pachyptila vittata,0,#N/A,avibase-93860B9B,ebird_single,Broad-billed Prion,Pachyptila vittata,4917,Pachyptila vittata,brbpri1,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,LC,https://datazone.birdlife.org/species/factsheet/22698106,1,false,false,false,false,196,Marine,3,2,Carnivore,Aquatic predator,Generalist,50803001.59,,"Re-identified as Thin-billed Prion Fanshawe, J.H., Prince, P. and Irwin, M. (1992). Black-bellied Storm Petrel Fregetta tropica, Antarctic Prion Pachyptila desolata, and Thin-billed Prion P. belcheri: three species new to Kenya and East Africa. Scopus. 15: 102–108."
8,Jouanin's Petrel,Bulweria fallax,,1011,avibase-F501ED18,ebird_single,Jouanin's Petrel,Bulweria fallax,4833,Bulweria fallax,joupet,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,NT,https://datazone.birdlife.org/species/factsheet/22698136,1,false,false,false,false,173,Marine,3,2,Carnivore,Aquatic predator,Aquatic,8090659.18,"Species not recorded during both the old and new atlas, but recorded in Kenya. Seabird species maps are unreliable because they are strongly depend on effort",
9,Wedge-tailed Shearwater,Puffinus pacificus,,180,avibase-E94A7272,ebird_single,Wedge-tailed Shearwater,Ardenna pacifica,4853,Ardenna pacifica,wetshe,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,LC,https://datazone.birdlife.org/species/factsheet/22698175,1,false,false,false,false,388,Marine,3,3,Carnivore,Aquatic predator,Generalist,119963361.1,Seabird species maps are unreliable because they are strongly depend on effort,
10,Audubon's Shearwater,Puffinus lherminieri,,0,avibase-3D67B652,manual,Persian/Tropical Shearwater,Puffinus sp.,4884,Puffinus persicus|Puffinus bailloni,pershe1|troshe5,"Petrels, Shearwaters, and Diving Petrels",Procellariiformes,LC,,2,false,false,false,false,214,Marine,3,2,Carnivore,Aquatic predator,Aquatic,45969798.08,Seabird species maps are unreliable because they are strongly depend on effort,"Historical lump of 2 species, treated as one taxon (Puffinus lherminieri) in the 1970-1984 atlas: Persian Shearwater (Puffinus persicus, 18 Kenyan eBird records 2009-2023); Tropical Shearwater (Puffinus bailloni, 1 Kenyan eBird records 2009-2023). At least one member was already a distinct, field-separable species during the atlas era; old-atlas records for this concept may include unseparated or misidentified individuals of either."
