Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English_name_Clements_v2025,Species_code_Cornell_Lab,AvibaseID,IUCN_Red_List_Category,BirdLife_DataZone_URL
4,species,Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich,Somali Ostrich,ostric3,avibase-40329BB6,VU,https://datazone.birdlife.org/species/factsheet/22732795
5,species,Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich,Common Ostrich,ostric2,avibase-2247CB05,LC,https://datazone.birdlife.org/species/factsheet/45020636
13,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu,Emu,emu1,avibase-FD2456D5,NE,
19,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary,Southern Cassowary,soucas1,avibase-8B9D93D8,LC,https://datazone.birdlife.org/species/factsheet/22678108
20,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,dwacas1,avibase-7751E0D1,LC,https://datazone.birdlife.org/species/factsheet/22678111
23,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,norcas1,avibase-32E7303B,LC,https://datazone.birdlife.org/species/factsheet/22678114
27,species,Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,liskiw1,avibase-187706CF,NT,https://datazone.birdlife.org/species/factsheet/22678129
28,species,Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi,Great Spotted Kiwi,grskiw1,avibase-0D8B9E40,VU,https://datazone.birdlife.org/species/factsheet/22678132
29,species,Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,sobkiw1,avibase-6BA55EF0,VU,https://datazone.birdlife.org/species/factsheet/22678122
32,species,Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi,Okarito Brown Kiwi,okbkiw1,avibase-D433BDAB,VU,https://datazone.birdlife.org/species/factsheet/22732871
33,species,Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,nibkiw1,avibase-DB55CB8C,VU,https://datazone.birdlife.org/species/factsheet/45353580
37,species,Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea,Lesser Rhea,lesrhe2,avibase-590ADF92,LC,https://datazone.birdlife.org/species/factsheet/22678081
41,species,Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea,Greater Rhea,grerhe1,avibase-00986B24,NT,https://datazone.birdlife.org/species/factsheet/22678073
50,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,puntin1,avibase-0A51B426,LC,https://datazone.birdlife.org/species/factsheet/22678299
51,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,pattin1,avibase-EC451D91,LC,https://datazone.birdlife.org/species/factsheet/22678302
53,species,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou,Quebracho Crested-Tinamou,quctin1,avibase-9337459C,LC,https://datazone.birdlife.org/species/factsheet/22678294
56,species,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou,Elegant Crested-Tinamou,elctin1,avibase-4E215E82,LC,https://datazone.birdlife.org/species/factsheet/22678289
68,species,Tinamiformes,Tinamidae,Tinamous,Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,dwatin1,avibase-B62C4561,EN,https://datazone.birdlife.org/species/factsheet/22678286
