TAXON_CONCEPT_ID	n_records
avibase-6ABDB635	28661
avibase-405CCAAE	27049
avibase-1FDDABDB	25769
avibase-CAFBA217	24759
avibase-AB937AEB	22435
avibase-DA2F24E3	21559
avibase-11FE7313	21259
avibase-CE7D41A6	20742
avibase-9888B3AE	19205
avibase-34D538E1	18913
avibase-550DE745	17341
avibase-94C71DF6	16719
avibase-BE1FE156	16372
avibase-75AAC17B	15525
avibase-03C0F97C	14678
avibase-9E9B6EF9	14597
avibase-AB1CB216	14246
avibase-D209A90C	14201
avibase-25A648FE	14114
avibase-1044B438	14052
avibase-6429024D	13952
avibase-BDF442F2	13582
avibase-5792867A	13546
avibase-FC10F6ED	13472
avibase-D0FA8EBE	13408
avibase-EAE77D96	13324
avibase-B2D6AB06	13051
avibase-58C502EA	12997
avibase-06D9A2C8	12883
avibase-8E9E45B5	12084
avibase-A19B0CF4	11789
avibase-07F940AA	11775
avibase-4F92C892	11598
avibase-DA106373	11544
avibase-A6EA9F02	11449
avibase-3809131C	11395
avibase-B4A4E4BF	11271
avibase-2AA4BC58	11190
avibase-2F23EDC6	11120
avibase-C0A68CA0	11032
avibase-D4F9B273	10954
avibase-7471E71D	10942
avibase-DBAB527C	10925
avibase-8205077F	10884
avibase-D10CAC5D	10705
avibase-580A93C2	10609
avibase-F5E92B22	10597
avibase-BD2BC35C	10523
avibase-909FEE8A	10418
avibase-2247CB05	10412
avibase-428DA7CD	10409
avibase-0868B50D	10409
avibase-DC456636	10226
avibase-8548B07E	9956
avibase-0419DDC2	9947
avibase-5ACC908D	9939
avibase-D41EDD2E	9874
avibase-3BB2565D	9781
avibase-90AFDF9E	9728
avibase-E255DCE1	9683
avibase-7DDB347E	9674
avibase-F6D547B2	9569
avibase-B85B93BB	9284
avibase-142E4CB7	9102
avibase-16BD42DD	9094
avibase-0059A2E0	9085
avibase-DE689967	9068
avibase-178B6892	8995
avibase-63F72CA7	8965
avibase-1611F295	8824
avibase-C5C38D98	8777
avibase-00855728	8541
avibase-B79D6B3D	8478
avibase-4AC57370	8319
avibase-F86BB1D3	8268
avibase-BE62734A	8260
avibase-E70F9747	8162
avibase-8DAF86A1	8062
avibase-F72A871F	8046
avibase-AF75AC32	8045
avibase-E45D9EB2	8029
avibase-49D9148A	8029
avibase-6CBD8724	7931
avibase-00B07B12	7892
avibase-673E66F0	7828
avibase-6A0D6123	7789
avibase-866D07A0	7759
avibase-70170649	7675
avibase-DCBCCEB8	7518
avibase-D16D486D	7516
avibase-47DA0258	7476
avibase-97C47F3E	7348
avibase-8004C7E5	7278
avibase-7749C92B	7269
avibase-E281D783	7252
avibase-E8AA9E1C	7156
avibase-0D7CC717	7140
avibase-8E67DC5F	6993
avibase-3CAEB7CE	6908
avibase-A38BABE1	6846
avibase-240E3390	6808
avibase-9D95139B	6779
avibase-D2854489	6721
avibase-70BD722B	6721
avibase-DDC2CC92	6675
avibase-148F0B01	6673
avibase-7149F93D	6610
avibase-0D9BFED1	6572
avibase-C8880D28	6563
avibase-F2858F9F	6562
avibase-B5B6EC7B	6555
avibase-69EB514A	6554
avibase-215FEA89	6537
avibase-345658E9	6496
avibase-836EDA33	6460
avibase-CA4839B2	6453
avibase-B022292C	6346
avibase-4CCFF282	6169
avibase-DB4998D1	6156
avibase-4DC2B23C	6058
avibase-DE36D3BD	6013
avibase-621F6E07	5970
avibase-61CB98C0	5841
avibase-4183643D	5839
avibase-02B6A30C	5810
avibase-1953C1D6	5809
avibase-0A241B83	5720
avibase-26A34DA5	5702
avibase-53EABB81	5661
avibase-0CCD664D	5630
avibase-A9030503	5609
avibase-18B415D2	5514
avibase-6E95C4A9	5460
avibase-1FACD210	5433
avibase-14B9664A	5417
avibase-FA3A1F20	5416
avibase-1DA06308	5344
avibase-0482FA7E	5330
avibase-8BAFB01E	5302
avibase-2B6DE136	5300
avibase-E09F7223	5261
avibase-C3ABF863	5246
avibase-7F64AD87	5208
avibase-FDA2E4A3	5188
avibase-728B225E	5168
avibase-3B287014	5163
avibase-31E5F1E9	5106
avibase-5D970425	5058
avibase-FA9F6019	5052
avibase-94214F1C	5050
avibase-D419E3A5	5028
avibase-F1CCA0AA	5009
avibase-28CACA8F	4979
avibase-A534AFEA	4909
avibase-97D7865F	4895
avibase-88F4B969	4872
avibase-C505EA72	4844
avibase-A4CF3B9E	4839
avibase-967545BC	4820
avibase-672EA454	4779
avibase-4FC41CA0	4762
avibase-03C4A0C9	4714
avibase-A6083057	4643
avibase-66AA3934	4573
avibase-6B64558B	4570
avibase-CE73EBD7	4551
avibase-6483A467	4548
avibase-76B512B1	4524
avibase-9936FF4A	4457
avibase-169B483C	4429
avibase-508D5CA2	4420
avibase-5983D677	4418
avibase-DF526047	4400
avibase-EE8206E7	4338
avibase-EE9C6A5E	4304
avibase-2D86B0D2	4291
avibase-3DF5C587	4258
avibase-8F82FF8C	4252
avibase-AB51824B	4246
avibase-7308278F	4244
avibase-FCD72CEE	4236
avibase-5AC9F737	4217
avibase-B06A9079	4106
avibase-53A5E91F	4098
avibase-39868903	4063
avibase-8F6876AC	4059
avibase-C7708C70	4035
avibase-64772F0F	4019
avibase-0F9B5174	4004
avibase-E069A0BB	3916
avibase-0195CFDD	3913
avibase-F9031A09	3911
avibase-FA2F9125	3901
avibase-D4540F88	3892
avibase-36DF115B	3877
avibase-861DA135	3875
avibase-A7B17EFC	3874
avibase-97A73D9F	3873
avibase-90C937E4	3816
avibase-00146574	3779
avibase-B1A3AF6C	3773
avibase-902E9F69	3755
avibase-2D0C83B2	3742
avibase-00D5E1C6	3741
avibase-F7A3FA35	3735
avibase-5C7936A7	3735
avibase-70AFED2C	3731
avibase-8770C6A7	3721
avibase-53235FDC	3707
avibase-79A45DAF	3659
avibase-9EB53638	3653
avibase-C7888A15	3638
avibase-F3DCCA8F	3621
avibase-2DABF98F	3616
avibase-0F0DCC2F	3596
avibase-8D24E93C	3592
avibase-573C3683	3591
avibase-4F9D43DE	3571
avibase-FC6C191F	3543
avibase-E6C6F746	3526
avibase-373DCDF4	3511
avibase-88AAE3D3	3481
avibase-0ECD9D58	3455
avibase-4D19099B	3452
avibase-F7D5320E	3430
avibase-FCDA4F09	3429
avibase-EAC8528E	3360
avibase-922DE9C1	3346
avibase-BCA0F974	3341
avibase-BF553D32	3329
avibase-87168739	3308
avibase-570C1121	3305
avibase-EDA37B7C	3301
avibase-6EB497FA	3277
avibase-562F4456	3276
avibase-3E3AFB25	3253
avibase-99F447AD	3199
avibase-E10D0809	3192
avibase-ECC3F122	3186
avibase-FA03A965	3139
avibase-40A2405D	3130
avibase-E4573453	3123
avibase-C90890A3	3120
avibase-8B8AC14A	3114
avibase-15CF9352	3111
avibase-01BFAE61	3109
avibase-B55BADC1	3026
avibase-749E7B3C	3022
avibase-3B52D2B8	3010
avibase-EE79A5EF	2999
avibase-D3B1A98B	2958
avibase-96CCAFEE	2955
avibase-022798AB	2952
avibase-BA01A793	2949
avibase-7451A628	2947
avibase-968D57F9	2932
avibase-46847C50	2896
avibase-0F14ECE4	2826
avibase-5350D0E8	2824
avibase-38507A80	2814
avibase-E6576A8D	2812
avibase-B0F2FB67	2811
avibase-5157C558	2809
avibase-EBD3129B	2802
avibase-074251A3	2802
avibase-4192DE77	2787
avibase-9185D29D	2741
avibase-8F052626	2695
avibase-D8F2F78B	2676
avibase-D1C1A026	2666
avibase-6904D83F	2666
avibase-4FF4CAF8	2656
avibase-3D155653	2650
avibase-F51C1C4A	2641
avibase-69661C7D	2641
avibase-43CAAEE3	2631
avibase-DFC5A27D	2619
avibase-5FA94F66	2614
avibase-EE674721	2597
avibase-F03BE6C3	2581
avibase-47E71671	2552
avibase-F80D69C2	2540
avibase-8A9A7AAA	2540
avibase-562E17AB	2538
avibase-02428AC1	2531
avibase-56209052	2511
avibase-6DE16262	2503
avibase-3395DCF1	2499
avibase-131038AD	2485
avibase-FA831F65	2483
avibase-1FDA0172	2478
avibase-7AB4E42B	2461
avibase-006667E7	2454
avibase-E9ED7248	2408
avibase-32C216E2	2398
avibase-641068BB	2390
avibase-40329BB6	2385
avibase-E358EC8A	2378
avibase-CF2E9674	2374
avibase-819AB823	2374
avibase-47053A35	2360
avibase-29820AD9	2355
avibase-EF6101F4	2342
avibase-6A1F6033	2335
avibase-01A3BE3C	2332
avibase-747B3A52	2324
avibase-3BCD9CB0	2320
avibase-6DD8F10F	2318
avibase-535F3C99	2317
avibase-7A8A8FCF	2298
avibase-215428B0	2285
avibase-24F71192	2277
avibase-F40197D6	2274
avibase-7B0E2F01	2262
avibase-F188F8C8	2231
avibase-1E3B3515	2231
avibase-C0998BB9	2202
avibase-55997100	2154
avibase-6BB94D7E	2153
avibase-C73ED2F5	2142
avibase-E15225F1	2138
avibase-862F6F04	2131
avibase-F93910B4	2123
avibase-862749B0	2120
avibase-65856D49	2085
avibase-7542C6F1	2079
avibase-F2CEFD1A	2075
avibase-91FD087B	2057
avibase-736D38E7	2041
avibase-A0DC8E87	2029
avibase-70CB00EC	2029
avibase-ECD7C1D8	2025
avibase-D33D2F6D	2023
avibase-C649EA57	2023
avibase-1AED683B	2007
avibase-2FB34D83	2003
avibase-83D95620	1996
avibase-143A681C	1996
avibase-22647E26	1994
avibase-B48D417F	1989
avibase-2624054E	1980
avibase-A635F565	1975
avibase-F5DE9155	1968
avibase-7350FE4C	1966
avibase-70312286	1953
avibase-35A1472C	1941
avibase-9A418C45	1939
avibase-63B6412E	1929
avibase-CF870445	1916
avibase-FAFA576B	1901
avibase-3D3808E3	1897
avibase-7A841F83	1887
avibase-28825494	1873
avibase-3C0C325D	1858
avibase-95054CA5	1856
avibase-CDDA63E0	1853
avibase-EBDC03AA	1850
avibase-0C571D99	1838
avibase-2DAB45B8	1831
avibase-5C9DDB02	1827
avibase-982C918E	1826
avibase-40781028	1820
avibase-70129CB1	1816
avibase-DCFFEEC1	1791
avibase-4602AC01	1775
avibase-25DA0F41	1773
avibase-0133C47B	1773
avibase-5D82C13B	1772
avibase-EB01B24C	1766
avibase-54494BCE	1761
avibase-86BEAFA6	1744
avibase-6523C1F4	1741
avibase-1B309CB5	1731
avibase-61F9065B	1726
avibase-E2A19474	1722
avibase-4AA7817D	1717
avibase-91429F78	1713
avibase-EBBD09CA	1707
avibase-AEE2063F	1696
avibase-B08FF959	1689
avibase-BF0A0954	1685
avibase-77D82F60	1666
avibase-B15F4C49	1652
avibase-97166F72	1643
avibase-B0DD1318	1634
avibase-2125426A	1630
avibase-2103011F	1630
avibase-87071086	1613
avibase-A6034D7F	1600
avibase-7FED5700	1598
avibase-230A0342	1593
avibase-30FEC6BE	1591
avibase-DF0759C0	1566
avibase-427D7FD6	1559
avibase-92A772BB	1553
avibase-D2AFD39B	1547
avibase-533DD36C	1534
avibase-CE1CF6FD	1530
avibase-5E822C9C	1517
avibase-5011E123	1504
avibase-B9104F62	1500
