SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
1,Ostrich,Struthio camelus,,0,avibase-5D14080C,This species was re-introduced in Kisumu (60b),
2,Little Grebe,Tachybaptus ruficollis,,6,avibase-215FEA89,,
3,Black-necked Grebe,Podiceps nigricollis,,5,avibase-32DCEC14,,
4,Great Crested Grebe,Podiceps cristatus,,4,avibase-8F269702,,
5,Black-browed Albatross,Diomedea melanophris,,8,avibase-F9FCB9FF,Seabird species maps are unreliable because they are strongly depend on effort,
6,Pintado Petrel,Daption capense,,14,avibase-AAC2D613,Seabird species maps are unreliable because they are strongly depend on effort,
7,Broad-billed Prion,Pachyptila vittata,0,#N/A,#N/A,,"Re-identified as Thin-billed Prion Fanshawe, J.H., Prince, P. and Irwin, M. (1992). Black-bellied Storm Petrel Fregetta tropica, Antarctic Prion Pachyptila desolata, and Thin-billed Prion P. belcheri: three species new to Kenya and East Africa. Scopus. 15: 102–108."
8,Jouanin's Petrel,Bulweria fallax,,1011,avibase-F501ED18,"Species not recorded during both the old and new atlas, but recorded in Kenya. Seabird species maps are unreliable because they are strongly depend on effort",
9,Wedge-tailed Shearwater,Puffinus pacificus,,180,avibase-E94A7272,Seabird species maps are unreliable because they are strongly depend on effort,
10,Audubon's Shearwater,Puffinus lherminieri,,0,0,Seabird species maps are unreliable because they are strongly depend on effort,
11,Wilson's Storm Petrel,Oceanites oceanicus,,33,avibase-D295D249,Seabird species maps are unreliable because they are strongly depend on effort,
12,Leach's Storm Petrel,Oceanodroma leucorhoa,,31,avibase-C5FB15C6,Seabird species maps are unreliable because they are strongly depend on effort,
13,Matsudaira's Storm Petrel,Oceanodroma matsudairae,0,#N/A,#N/A,,Rejected
14,Red-tailed Tropicbird,Phaeton rubricauda,0,#N/A,#N/A,,"Rejected by Zimmerman et al. 1996. See East African Rarities Committee (EARC) Special Report
Species included for East African countries in Britton (1980)
which have since been considered unacceptable. https://eararities.org/downloads/Fisher,%20Pearson%20&%20Hunter%202016.pdf"
15,White-tailed Tropicbird,Phaeton lepturus,,40,avibase-1D07B501,,
16,Great White Pelican,Pelecanus onocrotalus,,42,avibase-8BAFB01E,,
17,Pink-backed Pelican,Pelecanus rufescens,,41,avibase-8D24E93C,,
18,Red-footed Booby,Sula sula,,1027,avibase-0A4609D1,,
19,Masked Booby,Sula dactylatra,,45,avibase-22D1B4A2,,
20,Brown Booby,Sula leucogaster,,46,avibase-5EC21767,,
21,Great Cormorant,Phalacrocorax carbo,,9638,avibase-3DF5C587,,
22,Long-tailed Cormorant,Phalacrocorax africanus,,50,avibase-E255DCE1,,
23,African Darter,Anhinga rufa,,52,avibase-5C7936A7,,
24,Greater Frigatebird,Fregata minor,,53,avibase-788EBCAB,This species is prone to misidentification and its maps might be affected by error.,
25,Lesser Frigatebird,Fregata ariel,,1013,avibase-09ED7E92,This species is prone to misidentification and its maps might be affected by error.,
26,Dwarf Bittern,Ixobrychus sturmii,,66,avibase-87EEBD3E,,
27,Little Bittern,Ixobrychus minutus,,67,avibase-7AAD57AC,,
28,White-backed Night Heron,Gorsachius leuconotus,,70,avibase-3C12AA44,,
29,Night Heron,Nycticorax nycticorax,,69,avibase-6BB94D7E,,
30,Cattle Egret,Bubulcus ibis,,61,avibase-AB1CB216,,
31,Squacco Heron,Ardeola ralloides,,62,avibase-CE73EBD7,,
